"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"13",1,0,0,0,0,0,0,0,0,0
"14",2,0,0,0,0,0,0,0,0,0
"15",3,0,0,0,0,0,0,0,0,0
"16",4,0,0,0,0,0,0,0,0,0
"17",5,0,0,0,0,0,0,0,0,0
"18",6,0,0,0,0,0,0,0,0,0
"19",7,0,0,0,0,0,0,0,0,0
"20",8,0,0,0,0,0,0,0,0,0
"21",9,0,0,0,0,0,0,0,0,0
"22",10,0,0,0,0,0,0,0,0,0
"23",11,0,0,0,0,0,0,0,0,0
"24",12,0,0,0,0,0,0,0,0,0
"25",13,0,0,0,0,0,0,0,0,0
"1",14,4.37934418604651,0.114983390312756,4.729,0.672495478554929,1.09679288511751,0.277016183660101,5.60806346158372,5,5.11314719276546
"2",15,5.558875,0.100342894260488,5.681,0.0279852261771222,0.0315995200438918,0.0104370247121623,0.201782586418527,6,6.38562187458071
"3",16,1.55638,0.0416897628504962,1.655,0.2041222816504,0.206220523489444,0.0770227633462377,0.513453066884566,2,2.48982525209645
"26",17,0,0,0,0,0,0,0,0,0
"27",18,0,0,0,0,0,0,0,0,0
"28",19,0,0,0,0,0,0,0,0,0
"29",20,0,0,0,0,0,0,0,0,0
"30",21,0,0,0,0,0,0,0,0,0
"31",22,0,0,0,0,0,0,0,0,0
"32",23,0,0,0,0,0,0,0,0,0
"33",24,0,0,0,0,0,0,0,0,0
"34",25,0,0,0,0,0,0,0,0,0
"4",26,2.5038202247191,0.048190569097583,2.666,0.362091447237759,0.396349450179982,0.135303354218823,1.35296507268771,3,3.41356616509329
"5",27,1.49991935483871,0.0300996354761604,1.599,0.718527533175645,0.942268890114957,0.270648401941091,2.13193086834808,2,2.26255041497548
"35",28,0,0,0,0,0,0,0,0,0
"6",29,2.06018181818182,0.0493139952738584,2.153,0.090912069229224,0.090912069229224,0.034361532336402,0.22728017307306,2,2.5
"7",30,2.49459036144578,0.191444001628737,2.963,0.328867662058844,0.367013910658014,0.122723490726413,1.24640243870388,3,3.39606320771118
"8",31,1.45491836734694,0.332165447074279,2.836,1.42680272515649,2.94218240019687,0.614838785656341,8.15650592950148,2,2.77226385724954
"9",32,2.2155395480226,0.506796683133308,2.937,1.62359881003094,1.92653587293467,0.602609700656298,6.40485777616457,3,3.32454633528735
"10",33,1.77532352941176,0.3901135614788,2.31,0.494905619694286,0.542464572403387,0.184912216779541,1.30860247829937,2,2.41232800236448
"36",34,0,0,0,0,0,0,0,0,0
"37",35,0,0,0,0,0,0,0,0,0
"38",36,0,0,0,0,0,0,0,0,0
"39",37,0,0,0,0,0,0,0,0,0
"11",38,1.93482222222222,0.0450576846885739,2.049,0.163732080469899,0.163732080469899,0.0618849095095096,0.409330201174747,2,2.5
"12",39,2.4628359375,0.636642803686438,3.381,0.415444931906929,0.506140012053806,0.155039389101776,1.68079496204144,3,3.32081029362042
"40",40,0,0,0,0,0,0,0,0,0
